platform,symbol,total_profit,num_trades,win_rate,profit_factor,max_drawdown,sharpe,timestamp,atr_sl_multiplier,atr_tp_multiplier,rsi_period
binance,BTCUSDT,7543.034757810407,333,0.5315315315315315,2.395187482464474,0,3.100628648773176,2025-03-15T15:46:22.149086,1.2,6.5,2
binance,ETHUSDT,-647.3066829655361,388,0.44587628865979384,0.9319896385717533,0,-0.10970696452529041,2025-03-15T15:47:01.106467,2.5,6.0,2
binance,BNBUSDT,-11866.960559373802,380,0.33421052631578946,0.34456327346770244,0,-2.4408439399185813,2025-03-15T15:47:39.659871,2.5,8.0,2
metatrader,EURUSD,19419.961646037344,50,0.6,7.177360067621137,0,9.894931196824126,2025-03-15T15:47:42.180377,0.7,4.0,2
metatrader,GBPUSD,20383.388300340306,51,0.7450980392156863,8.795737458207812,0,12.804447531717399,2025-03-15T15:47:44.716999,0.7,4.0,2
metatrader,USDJPY,12729.186171125119,46,0.6739130434782609,7.019400150245137,0,8.477967149400634,2025-03-15T15:47:47.138984,0.7,4.0,2
metatrader,AUDUSD,15125.397541105009,40,0.725,11.864143091908543,0,10.295137163498596,2025-03-15T15:47:49.574981,0.7,4.0,2
