target,params
-0.14264999999999978,"{'atr_sl': np.float64(1.6236203565420875), 'atr_tp': np.float64(7.704285838459497), 'lookback': np.float64(8.123957592679837), 'rsi_overbought': np.float64(73.94633936788146), 'rsi_oversold': np.float64(14.680559213273096), 'rsi_period': np.float64(4.0279287643706345)}"
-0.6,"{'atr_sl': np.float64(0.6742508365045984), 'atr_tp': np.float64(7.197056874649611), 'lookback': np.float64(7.207805082202461), 'rsi_overbought': np.float64(78.32290311184181), 'rsi_oversold': np.float64(10.617534828874074), 'rsi_period': np.float64(14.608828078105926)}"
-0.08080000000000007,"{'atr_sl': np.float64(2.997327922401265), 'atr_tp': np.float64(3.274034664069657), 'lookback': np.float64(4.272774770449704), 'rsi_overbought': np.float64(57.33618039413735), 'rsi_oversold': np.float64(19.127267288786133), 'rsi_period': np.float64(8.821833611219091)}"
-0.19102363636363598,"{'atr_sl': np.float64(1.7958350559263474), 'atr_tp': np.float64(3.7473748411882513), 'lookback': np.float64(7.282970263056656), 'rsi_overbought': np.float64(55.57975442608167), 'rsi_oversold': np.float64(18.764339456056547), 'rsi_period': np.float64(6.762703962817993)}"
0.22018117647058866,"{'atr_sl': np.float64(1.8682099526511078), 'atr_tp': np.float64(6.711055768358081), 'lookback': np.float64(4.397716475108519), 'rsi_overbought': np.float64(70.56937753654447), 'rsi_oversold': np.float64(27.772437065861276), 'rsi_period': np.float64(2.6038553653599705)}"
-0.019502857142857682,"{'atr_sl': np.float64(3.5), 'atr_tp': np.float64(2.0), 'lookback': np.float64(3.0), 'rsi_overbought': np.float64(66.66852604920098), 'rsi_oversold': np.float64(33.853763934311715), 'rsi_period': np.float64(5.677851038720453)}"
-0.33326999999999984,"{'atr_sl': np.float64(0.8726151818046091), 'atr_tp': np.float64(6.2762979200736755), 'lookback': np.float64(8.184814766639303), 'rsi_overbought': np.float64(56.2566159089258), 'rsi_oversold': np.float64(29.01456308567381), 'rsi_period': np.float64(13.503558034858417)}"
-0.3605599999999999,"{'atr_sl': np.float64(1.1310616641591515), 'atr_tp': np.float64(7.9549767144439185), 'lookback': np.float64(4.497330962814252), 'rsi_overbought': np.float64(78.04211668451481), 'rsi_oversold': np.float64(24.869011363234236), 'rsi_period': np.float64(5.73994185017059)}"
0.09190304347826084,"{'atr_sl': np.float64(2.112705994199409), 'atr_tp': np.float64(5.430351105115791), 'lookback': np.float64(3.847561267380409), 'rsi_overbought': np.float64(68.09033485034665), 'rsi_oversold': np.float64(29.822627555785406), 'rsi_period': np.float64(4.210037194310085)}"
0.21164387096774148,"{'atr_sl': np.float64(3.467224308966616), 'atr_tp': np.float64(4.5483400656126385), 'lookback': np.float64(6.437498038588634), 'rsi_overbought': np.float64(68.0931750064993), 'rsi_oversold': np.float64(23.77424718135019), 'rsi_period': np.float64(2.93729223929059)}"
0.17571999999999957,"{'atr_sl': np.float64(2.7941524345721716), 'atr_tp': np.float64(5.129234174683328), 'lookback': np.float64(9.756291625348965), 'rsi_overbought': np.float64(71.03086600409296), 'rsi_oversold': np.float64(29.530252769681244), 'rsi_period': np.float64(2.4614803726852603)}"
0.24680142857142817,"{'atr_sl': np.float64(3.1207714874954706), 'atr_tp': np.float64(6.508934757167756), 'lookback': np.float64(5.747499965226366), 'rsi_overbought': np.float64(75.74579003259046), 'rsi_oversold': np.float64(39.875041132328334), 'rsi_period': np.float64(2.0668739408386076)}"
0.2412099999999996,"{'atr_sl': np.float64(3.286346821768305), 'atr_tp': np.float64(2.1960978045204715), 'lookback': np.float64(5.693874609312088), 'rsi_overbought': np.float64(88.72248709260892), 'rsi_oversold': np.float64(39.55670563119769), 'rsi_period': np.float64(2.296468953765225)}"
-0.3350000000000003,"{'atr_sl': np.float64(3.4993683434700733), 'atr_tp': np.float64(2.3137881742234927), 'lookback': np.float64(6.016961299941215), 'rsi_overbought': np.float64(88.02472470605066), 'rsi_oversold': np.float64(39.924315835080606), 'rsi_period': np.float64(13.313188430225004)}"
0.12715307692307648,"{'atr_sl': np.float64(0.7305202082181311), 'atr_tp': np.float64(2.4900887310826665), 'lookback': np.float64(9.574503518004391), 'rsi_overbought': np.float64(78.72962046917478), 'rsi_oversold': np.float64(39.191308438389626), 'rsi_period': np.float64(2.283241169717086)}"
0.2665060465116268,"{'atr_sl': np.float64(2.423773157053792), 'atr_tp': np.float64(7.50463527542954), 'lookback': np.float64(3.275577109727566), 'rsi_overbought': np.float64(86.73478173855298), 'rsi_oversold': np.float64(37.667631406191916), 'rsi_period': np.float64(2.025402825448856)}"
0.2202266666666659,"{'atr_sl': np.float64(2.8814823467114885), 'atr_tp': np.float64(2.007644748396091), 'lookback': np.float64(3.8053220695366665), 'rsi_overbought': np.float64(80.4349993375012), 'rsi_oversold': np.float64(36.2795556792243), 'rsi_period': np.float64(2.104202073655363)}"
0.2574099999999996,"{'atr_sl': np.float64(2.88714214645545), 'atr_tp': np.float64(6.637471250617322), 'lookback': np.float64(3.536889050176105), 'rsi_overbought': np.float64(51.381562323863854), 'rsi_oversold': np.float64(39.33872368006968), 'rsi_period': np.float64(2.2514771851186235)}"
0.15795707317073218,"{'atr_sl': np.float64(2.036526002499958), 'atr_tp': np.float64(2.3460824782260348), 'lookback': np.float64(9.238242708216296), 'rsi_overbought': np.float64(54.94625788635853), 'rsi_oversold': np.float64(39.67324930692842), 'rsi_period': np.float64(2.7040823892110644)}"
