time,balance,equity,position,entry_price,exit_price,units,atr,pip_value,risk_per_trade,profit
2025-01-17 15:00:00,16000.0,15965.324540567735,LONG,155.723,0.0,1.4590496154515535,0.26103683547600026,6.423185129041789,176.0,0.0
2025-01-17 21:00:00,16435.316905031978,16435.316905031978,NONE,0.0,156.146,0.0,0.25426255904840545,6.40426267723797,176.0,435.31690503197694
2025-01-20 11:00:00,16435.316905031978,16566.99531038467,LONG,156.154,0.0,1.5952787770338297,0.24559695896397052,6.398648605414537,176.43531690503198,0.0
2025-01-20 13:00:00,16661.79148457201,16661.79148457201,NONE,0.0,156.343,0.0,0.23365758196383288,6.396192985934772,176.43531690503198,226.47457954003403
2025-01-20 14:00:00,16661.79148457201,16626.155645152186,SHORT,156.343,0.0,1.6886636439732952,0.2297534689664164,6.394843198444774,176.661791484572,0.0
2025-01-21 09:00:00,17556.51099963703,17556.51099963703,NONE,0.0,155.679,0.0,0.3643787579678638,6.4234739431779495,176.661791484572,894.7195150650197
2025-01-22 02:00:00,17556.51099963703,17248.69057703334,LONG,155.745,0.0,1.509271692253786,0.27262419336424476,6.433847183261704,177.55651099963703,0.0
2025-01-22 03:00:00,17248.69057703334,17248.69057703334,NONE,0.0,155.686,0.0,0.27550817955251217,6.423185129041789,177.55651099963703,-307.8204226036887
2025-01-22 04:00:00,17248.69057703334,17298.303366795368,LONG,155.686,0.0,1.4308696069515088,0.26525759529876164,6.420958006934634,177.24869057703333,0.0
2025-01-22 09:00:00,17432.26955230391,17432.26955230391,NONE,0.0,156.048,0.0,0.25953625411150016,6.408284630370143,177.24869057703333,183.57897527057304
2025-01-22 11:00:00,17432.26955230391,17477.352242781566,SHORT,155.722,0.0,1.4036225184072215,0.2734827905349172,6.4237627832879385,177.43226955230392,0.0
2025-01-22 13:00:00,17391.71987661631,17391.71987661631,NONE,0.0,155.873,0.0,0.2590183244918407,6.4154792683787445,177.43226955230392,-40.54967568760226
2025-01-23 09:00:00,17391.71987661631,17390.425651821915,SHORT,156.608,0.0,2.0268725082443146,0.1936756686867568,6.385329067933515,177.39171987661632,0.0
2025-01-24 01:00:00,18179.07179517892,18179.07179517892,NONE,0.0,156.14,0.0,0.21689513191148066,6.404508774177021,177.39171987661632,787.3519185626104
2025-01-24 05:00:00,18179.07179517892,18707.43706415208,SHORT,155.98,0.0,1.6596540170968828,0.29242497559672237,6.43148856802907,178.1790717951789,0.0
