time,balance,equity,position,entry_price,exit_price,units,atr,pip_value,risk_per_unit_in_pips,highest_win,highest_loss,profit
2025-01-16 11:00:00,15999.9984,16156.798399999998,SHORT,1.0296,0.0,1.6,0.0014455115016310464,10,10,0.0,0.0,0.0
2025-01-16 17:00:00,16267.19680000001,16267.19680000001,NONE,0.0,1.03009,0.0,0.0016640476618580721,10,0,267.20000000000965,0.0,267.20000000000965
2025-01-17 05:00:00,16267.195200000011,16310.39520000001,SHORT,1.03033,0.0,1.6,0.0012134808662066438,10,10,267.20000000000965,0.0,0.0
2025-01-17 21:00:00,16622.393599999992,16622.393599999992,NONE,0.0,1.02763,0.0,0.001503103428786955,10,0,355.1999999999822,0.0,355.1999999999822
2025-01-20 13:00:00,16622.391999999993,16798.391999999974,LONG,1.0315,0.0,1.6,0.0012742876460162427,10,10,355.1999999999822,0.0,0.0
2025-01-21 01:00:00,18174.390399999964,18174.390399999964,NONE,0.0,1.04209,0.0,0.0021117388558039543,10,0,1551.9999999999711,0.0,1551.9999999999711
2025-01-22 10:00:00,18174.388799999964,18355.188799999978,LONG,1.04118,0.0,1.6,0.00165775653427861,10,10,1551.9999999999711,0.0,0.0
2025-01-22 17:00:00,18379.187199999957,18379.187199999957,NONE,0.0,1.04201,0.0,0.0016731591097004458,10,0,1551.9999999999711,0.0,204.79999999999166
2025-01-23 12:00:00,18379.185599999957,18371.185599999975,LONG,1.04117,0.0,1.6,0.0011688197217887021,10,10,1551.9999999999711,0.0,0.0
2025-01-24 01:00:00,18444.78399999996,18444.78399999996,NONE,0.0,1.04157,0.0,0.0013538383682024783,10,0,1551.9999999999711,0.0,65.60000000000343
2025-01-24 05:00:00,18444.78239999996,18399.98239999995,LONG,1.04489,0.0,1.6,0.0014612160983504552,10,10,1551.9999999999711,0.0,0.0
2025-01-24 21:00:00,19185.580799999945,19185.580799999945,NONE,0.0,1.04954,0.0,0.0016404550951408462,10,0,1551.9999999999711,0.0,740.7999999999859
2025-01-27 11:00:00,19185.579199999946,19199.97919999997,LONG,1.04879,0.0,1.6,0.0016074941382485976,10,10,1551.9999999999711,0.0,0.0
2025-01-27 21:00:00,19137.57759999995,19137.57759999995,NONE,0.0,1.04927,0.0,0.0015949359640537123,10,0,1551.9999999999711,-47.999999999994714,-47.999999999994714
