time,balance,equity,position,entry_price,exit_price,units,atr,pip_value,risk_per_unit_in_pips,highest_win,highest_loss,profit
2025-01-16 16:00:00,15999.9984,15648.494403279363,SHORT,155.908,0.0,2.494528,0.31568215472068456,6.405001024800165,10,0.0,0.0,0.0
2025-01-17 05:00:00,16760.709555520654,16760.709555520654,NONE,0.0,155.446,0.0,0.2901962635186169,6.433598826511574,0,760.7127603998957,0.0,760.7127603998957
2025-01-17 15:00:00,16760.707955520655,16701.493886175936,LONG,155.723,0.0,2.4915680000000004,0.25821812003958455,6.423185129041789,10,760.7127603998957,0.0,0.0
2025-01-17 21:00:00,17504.081814391608,17504.081814391608,NONE,0.0,156.146,0.0,0.25245562153765716,6.402499535818784,0,760.7127603998957,0.0,743.3754540972474
2025-01-20 11:00:00,17504.080214391608,17710.309846533284,LONG,156.154,0.0,2.498464,0.2449566972005517,6.398648605414537,10,760.7127603998957,0.0,0.0
2025-01-20 13:00:00,17858.77435513956,17858.77435513956,NONE,0.0,156.343,0.0,0.23310551952496664,6.394843198444774,0,760.7127603998957,0.0,354.69573847650594
2025-01-20 14:00:00,17858.772755139562,17805.983897514325,SHORT,156.343,0.0,2.5014879999999997,0.22924083955889776,6.394843198444774,10,760.7127603998957,0.0,0.0
2025-01-21 09:00:00,19184.15654137273,19184.15654137273,NONE,0.0,155.679,0.0,0.36425335883531584,6.430082497958448,0,1325.385394710588,0.0,1325.385394710588
2025-01-22 02:00:00,19184.15494137273,18675.92049198136,LONG,155.745,0.0,2.49192,0.27258861754458363,6.433847183261704,10,1325.385394710588,0.0,0.0
2025-01-22 09:00:00,19409.54928600918,19409.54928600918,NONE,0.0,156.048,0.0,0.25951507722390904,6.414944254134432,0,1325.385394710588,0.0,225.39594318923952
2025-01-22 11:00:00,19409.54768600918,19489.57338106033,SHORT,155.722,0.0,2.491552,0.2734645308716371,6.4237627832879385,10,1325.385394710588,0.0,0.0
2025-01-22 13:00:00,19337.56688676931,19337.56688676931,NONE,0.0,155.873,0.0,0.259002580190339,6.419845024941098,0,1325.385394710588,-71.97919970209918,-71.97919970209918
2025-01-23 09:00:00,19337.56528676931,19335.96529698583,SHORT,156.608,0.0,2.505728,0.19367209242144345,6.385329067933515,10,1325.385394710588,-71.97919970209918,0.0
2025-01-24 01:00:00,20310.93015534278,20310.93015534278,NONE,0.0,156.14,0.0,0.21689403927726447,6.410174228535531,0,1325.385394710588,-71.97919970209918,973.3664747887759
2025-01-24 05:00:00,20310.92855534278,21105.449956120952,SHORT,155.98,0.0,2.49568,0.2924241632600437,6.43148856802907,10,1325.385394710588,-71.97919970209918,0.0
2025-01-24 13:00:00,20424.578687355683,20424.578687355683,NONE,0.0,156.099,0.0,0.36851969929091316,6.413997909036682,0,1325.385394710588,-71.97919970209918,113.65173274153184
2025-01-24 20:00:00,20424.577087355683,20728.206678983013,LONG,155.746,0.0,2.491936,0.36886552949412355,6.4128873383952385,10,1325.385394710588,-71.97919970209918,0.0
2025-01-24 21:00:00,20728.20508093253,20728.20508093253,NONE,0.0,155.819,0.0,0.35537513453025804,6.4128873383952385,0,1325.385394710588,-71.97919970209918,303.6295916273306
