time,balance,equity,position,entry_price,exit_price,units,atr,pip_value,risk_per_unit_in_pips,highest_win,highest_loss,profit
2025-01-16 18:00:00,15999.9984,16134.398399999993,LONG,1.22343,0.0,1.6,0.0024217811909250484,10,10,0.0,0.0,0.0
2025-01-17 01:00:00,16017.59680000001,16017.59680000001,NONE,0.0,1.22347,0.0,0.001915154051221358,10,0,17.60000000000872,0.0,17.60000000000872
2025-01-20 11:00:00,16017.59520000001,16265.595200000036,SHORT,1.21934,0.0,1.6,0.001741309804253426,10,10,17.60000000000872,0.0,0.0
2025-01-20 13:00:00,16070.393600000038,16070.393600000038,NONE,0.0,1.22058,0.0,0.0017343946781572862,10,0,52.80000000002616,0.0,52.80000000002616
2025-01-20 21:00:00,16070.392000000038,16556.792000000027,LONG,1.23051,0.0,1.6,0.0029057088924515457,10,10,52.80000000002616,0.0,0.0
2025-01-21 01:00:00,16347.19040000004,16347.19040000004,NONE,0.0,1.23319,0.0,0.002555454802095708,10,0,276.8000000000015,0.0,276.8000000000015
2025-01-21 15:00:00,16347.18880000004,16889.58880000004,LONG,1.22448,0.0,1.6,0.0027421544653986143,10,10,276.8000000000015,0.0,0.0
2025-01-22 05:00:00,17817.587200000045,17817.587200000045,NONE,0.0,1.23324,0.0,0.002173803192093749,10,0,1470.400000000005,0.0,1470.400000000005
2025-01-22 11:00:00,17817.585600000046,18223.985600000044,LONG,1.2339,0.0,1.6,0.0021603726938588114,10,10,1470.400000000005,0.0,0.0
2025-01-22 17:00:00,17772.784000000036,17772.784000000036,NONE,0.0,1.2318500000000001,0.0,0.002176591248394603,10,0,1470.400000000005,-44.80000000000928,-44.80000000000928
2025-01-23 08:00:00,17772.782400000036,17814.38240000006,SHORT,1.23117,0.0,1.6,0.0013816270449326527,10,10,1470.400000000005,-44.80000000000928,0.0
2025-01-23 09:00:00,17814.38080000006,17814.38080000006,NONE,0.0,1.23051,0.0,0.0013993679702946076,10,0,1470.400000000005,-44.80000000000928,41.60000000002384
2025-01-23 12:00:00,17814.37920000006,17871.97920000008,LONG,1.23169,0.0,1.6,0.0014875114543502997,10,10,1470.400000000005,-44.80000000000928,0.0
